Metabolite	Common_metabolite_name	KEGG_ID	HMDB_ID	SMILES_metabolite
2-Deoxy-5-cytidylic acid	dCMP	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
cis-Aconitic acid	cis-Aconitic acid	C00417	HMDB00072	OC(=O)C\C(=C\C(O)=O)C(O)=O
Dehydroascorbic acid	Dehydroascorbic acid	C05422	HMDB01264	[H][C@@]1(OC(=O)C(=O)C1=O)[C@H](O)CO
cis-Aconitic acid	cis-Aconitic acid	C00417	HMDB00072	OC(=O)C\C(=C\C(O)=O)C(O)=O
Dehydroascorbic acid	Dehydroascorbic acid	C05422	HMDB01264	[H][C@@]1(OC(=O)C(=O)C1=O)[C@H](O)CO
Nicotinamide ribotide	Nicotinamide ribotide	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
Nicotinamide ribotide	Nicotinamide ribotide	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
Glucono delta-lactone	Gluconolactone	C00198	HMDB00150	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
Glucono delta-lactone	Gluconolactone	C00198	HMDB00150	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
Xanthosine 5-monophosphate	Xanthylic acid	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
Xanthosine 5-monophosphate	Xanthylic acid	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
L-a-Aspartyl-L-phenylalanine	Aspartylphenylalanine		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
L-a-Aspartyl-L-phenylalanine	Aspartylphenylalanine		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
Beta-alanine	Beta-Alanine	C00099	HMDB00056	NCCC(O)=O
L-Alanine	L-Alanine	C00041	HMDB00161	C[C@H](N)C(O)=O
Beta-alanine	Beta-Alanine	C00099	HMDB00056	NCCC(O)=O
L-Alanine	L-Alanine	C00041	HMDB00161	C[C@H](N)C(O)=O
Diadenosine triphosphate	Diadenosine triphosphate	C06197	HMDB01155	NC1=C2N=CN([C@H]3O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@H](O)[C@@H]3O)C2=NC=N1
Diadenosine triphosphate	Diadenosine triphosphate	C06197	HMDB01155	NC1=C2N=CN([C@H]3O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@H](O)[C@@H]3O)C2=NC=N1
"D-myo-Inositol-1,4,5-triphosphate"	"Inositol 1,4,5-trisphosphate"	C01245	HMDB01498	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
"D-myo-Inositol-1,4,5-triphosphate"	"Inositol 1,4,5-trisphosphate"	C01245	HMDB01498	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
5-Methoxy-3-indoleacetic acid	5-Methoxyindoleacetate	C05660	HMDB04096	COC1=CC2=C(NC=C2CC(O)=O)C=C1
5-Methoxy-3-indoleacetic acid	5-Methoxyindoleacetate	C05660	HMDB04096	COC1=CC2=C(NC=C2CC(O)=O)C=C1
D-galactaric acid	Galactaric acid	C00879	HMDB00639	O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O
D-galactaric acid	Galactaric acid	C00879	HMDB00639	O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O
L-Fucose	L-Fucose	C01019	HMDB00174	C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
L-Fucose	L-Fucose	C01019	HMDB00174	C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
Glyoxylate	Glyoxylic acid	C00048	HMDB00119	OC(=O)C=O
Glyoxylate	Glyoxylic acid	C00048	HMDB00119	OC(=O)C=O
Hydroxypyruvate	Hydroxypyruvic acid	C00168	HMDB01352	OCC(=O)C(O)=O
Hydroxypyruvate	Hydroxypyruvic acid	C00168	HMDB01352	OCC(=O)C(O)=O
Oxaloacetic acid	Oxalacetic acid	C00036	HMDB00223	OC(=O)CC(=O)C(O)=O
Oxaloacetic acid	Oxalacetic acid	C00036	HMDB00223	OC(=O)CC(=O)C(O)=O
3-Furoic acid	3-Furoic acid		HMDB00444	OC(=O)C1=COC=C1
3-Furoic acid	3-Furoic acid		HMDB00444	OC(=O)C1=COC=C1
Uridine 5-triphosphate	Uridine triphosphate	C00075	HMDB00285	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Uridine 5-triphosphate	Uridine triphosphate	C00075	HMDB00285	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
N-Acetyl-D-glucosamine 6-phosphate	N-Acetyl-D-Glucosamine 6-Phosphate	C00357	HMDB01062	CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
N-Acetyl-D-glucosamine 6-phosphate	N-Acetyl-D-Glucosamine 6-Phosphate	C00357	HMDB01062	CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
UDP-Glucuronate	Uridine diphosphate glucuronic acid	C00167	HMDB00935	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
UDP-Glucuronate	Uridine diphosphate glucuronic acid	C00167	HMDB00935	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
"2,3-Diphospho-D-glyceric acid"	"2,3-Diphosphoglyceric acid"	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
"2,3-Diphospho-D-glyceric acid"	"2,3-Diphosphoglyceric acid"	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
4-Methylthio-2-oxobutanoic acid	2-Oxo-4-methylthiobutanoic acid	C01180	HMDB01553	CSCCC(=O)C(O)=O
4-Methylthio-2-oxobutanoic acid	2-Oxo-4-methylthiobutanoic acid	C01180	HMDB01553	CSCCC(=O)C(O)=O
L-Glutamic acid	L-Glutamic acid	C00025	HMDB00148	N[C@@H](CCC(O)=O)C(O)=O
L-Glutamic acid	L-Glutamic acid	C00025	HMDB00148	N[C@@H](CCC(O)=O)C(O)=O
2-Deoxyadenosine 5-triphosphate	Deoxyadenosine triphosphate	 C00131	HMDB01532	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
2-Deoxyadenosine 5-triphosphate	Deoxyadenosine triphosphate	 C00131	HMDB01532	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
CDP-Glycerol	CDP-glycerol	C00513	HMDB59599	OCC(O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=N)N=C1O
CDP-Glycerol	CDP-glycerol	C00513	HMDB59599	OCC(O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=N)N=C1O
Guanidineacetic acid	Guanidoacetic acid	C00581	HMDB00128	NC(=N)NCC(O)=O
Guanidineacetic acid	Guanidoacetic acid	C00581	HMDB00128	NC(=N)NCC(O)=O
L-Kynurenine	L-Kynurenine	C00328	HMDB00684	N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O
L-Kynurenine	L-Kynurenine	C00328	HMDB00684	N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O
Citric acid	Citric acid	C00158	HMDB00094	OC(=O)CC(O)(CC(O)=O)C(O)=O
DL-Isocitric acid	Isocitric acid	C00311	HMDB00193	OC(C(CC(O)=O)C(O)=O)C(O)=O
Citric acid	Citric acid	C00158	HMDB00094	OC(=O)CC(O)(CC(O)=O)C(O)=O
DL-Isocitric acid	Isocitric acid	C00311	HMDB00193	OC(C(CC(O)=O)C(O)=O)C(O)=O
Dulcitol	Galactitol	C01697	HMDB00107	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
Dulcitol	Galactitol	C01697	HMDB00107	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
"3,5-Diiodo-L-tyrosine"	"3,5-Diiodo-L-tyrosine"	C01060	HMDB03474	N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O
"3,5-Diiodo-L-tyrosine"	"3,5-Diiodo-L-tyrosine"	C01060	HMDB03474	N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O
O-Phosphorylethanolamine	O-Phosphoethanolamine	C00346	HMDB00224	NCCOP(O)(O)=O
O-Phosphorylethanolamine	O-Phosphoethanolamine	C00346	HMDB00224	NCCOP(O)(O)=O
PIP3	"Phosphatidylinositol-3,4,5-trisphosphate"	C05981	HMDB04249	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O
PIP3	"Phosphatidylinositol-3,4,5-trisphosphate"	C05981	HMDB04249	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O
1-Methylnicotinamide	1-Methylnicotinamide	C02918	HMDB00699	C[N+]1=CC=CC(=C1)C(N)=O
1-Methylnicotinamide	1-Methylnicotinamide	C02918	HMDB00699	C[N+]1=CC=CC(=C1)C(N)=O
Cis-4-Hydroxy-D-proline	cis-4-Hydroxy-D-proline	C03440	HMDB60460	O[C@H]1CN[C@H](C1)C(O)=O
Trans-4-Hydroxy-L-proline	4-Hydroxyproline	C01157	HMDB00725	O[C@H]1CN[C@@H](C1)C(O)=O
Cis-4-Hydroxy-D-proline	cis-4-Hydroxy-D-proline	C03440	HMDB60460	O[C@H]1CN[C@H](C1)C(O)=O
Trans-4-Hydroxy-L-proline	4-Hydroxyproline	C01157	HMDB00725	O[C@H]1CN[C@@H](C1)C(O)=O
Xanthosine	Xanthosine	C01762	HMDB00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
Xanthosine	Xanthosine	C01762	HMDB00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
NADP	NADP	C00006	HMDB00217	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
NADP	NADP	C00006	HMDB00217	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
Deoxycytidine triphosphate	dCTP	C00458	HMDB00998	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
Deoxycytidine triphosphate	dCTP	C00458	HMDB00998	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
D-Glutamine	D-Glutamine	C00819	HMDB03423	N[C@H](CCC(N)=O)C(O)=O
DL-3-Ureidoisobutyric acid	Ureidoisobutyric acid	C05100	HMDB02031	CC(CNC(N)=O)C(O)=O
L-Glutamine	L-Glutamine	C00064	HMDB00641	N[C@@H](CCC(N)=O)C(O)=O
D-Glutamine	D-Glutamine	C00819	HMDB03423	N[C@H](CCC(N)=O)C(O)=O
DL-3-Ureidoisobutyric acid	Ureidoisobutyric acid	C05100	HMDB02031	CC(CNC(N)=O)C(O)=O
L-Glutamine	L-Glutamine	C00064	HMDB00641	N[C@@H](CCC(N)=O)C(O)=O
Glutaconic acid	Glutaconic acid	C02214	HMDB00620	OC(=O)C\C=C\C(O)=O
Glutaconic acid	Glutaconic acid	C02214	HMDB00620	OC(=O)C\C=C\C(O)=O
L-Dihydroorotic acid	"4,5-Dihydroorotic acid"	C00337	HMDB00528	OC(=O)C1CC(=O)NC(=O)N1
L-Dihydroorotic acid	"4,5-Dihydroorotic acid"	C00337	HMDB00528	OC(=O)C1CC(=O)NC(=O)N1
N-Acetyl-D-mannosamine	N-Acetylmannosamine	C00645	HMDB01129	[H][C@@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O
N-Acetyl-D-mannosamine	N-Acetylmannosamine	C00645	HMDB01129	[H][C@@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O
6-Phosphogluconic acid	6-Phosphogluconic acid	 C00345	HMDB01316	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
6-Phosphogluconic acid	6-Phosphogluconic acid	 C00345	HMDB01316	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
"DL-3,4-Dihydroxymandelic acid"	"3,4-Dihydroxymandelic acid"	C05580	HMDB01866	OC(C(O)=O)C1=CC=C(O)C(O)=C1
"DL-3,4-Dihydroxymandelic acid"	"3,4-Dihydroxymandelic acid"	C05580	HMDB01866	OC(C(O)=O)C1=CC=C(O)C(O)=C1
Homocitrulline	Homocitrulline	C02427	HMDB00679	N[C@@H](CCCCNC(N)=O)C(O)=O
Homocitrulline	Homocitrulline	C02427	HMDB00679	N[C@@H](CCCCNC(N)=O)C(O)=O
Nicotinamide hypoxanthine dinucleotide	NHD	C04423		c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4[nH]cnc5=O)O)O)O)O)C(=O)N
Nicotinamide hypoxanthine dinucleotide	NHD	C04423		c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4[nH]cnc5=O)O)O)O)O)C(=O)N
D-Lactaldehyde	D-Lactaldehyde	C00937	HMDB06458	C[C@@H](O)C=O
D-Lactaldehyde	D-Lactaldehyde	C00937	HMDB06458	C[C@@H](O)C=O
2-Deoxyribose-5-phosphate	Deoxyribose 5-phosphate	C00673	HMDB01031	O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
2-Deoxyribose-5-phosphate	Deoxyribose 5-phosphate	C00673	HMDB01031	O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
Inosine 5-monophosphate	Inosinic acid	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
Guanosine 5-monophosphate	Guanosine monophosphate	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Uridine monophosphate	Uridine 5'-monophosphate	C00105	HMDB00288	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
Cytidine monophosphate	Cytidine monophosphate	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
Hypoxanthine	Hypoxanthine	C00262	HMDB00157	OC1=NC=NC2=C1NC=N2
Xanthosine	Xanthosine	C01762	HMDB00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
Hippuric acid	Hippuric acid	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1
D-Glyceraldehyde 3-phosphate	D-Glyceraldehyde 3-phosphate	C00118	HMDB01112	OC(COP(O)(O)=O)C=O
Glycerone phosphate	Dihydroxyacetone phosphate	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O
Riboflavin 5-monophosphate	Flavin Mononucleotide	C00061	HMDB01520	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2
Glucono delta-lactone	Gluconolactone	C00198	HMDB00150	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
Nicotinamide adenine dinucleotide	NAD	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
Adenosine 5-phosphosulfate	Adenosine phosphosulfate	C00224	HMDB01003	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
Glyoxylate	Glyoxylic acid	C00048	HMDB00119	OC(=O)C=O
5-Phospho-D-ribose 1-diphosphate	Phosphoribosyl pyrophosphate	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
D-Glycerol 1-phosphate	Glycerol 3-phosphate	C00093	HMDB00126	OC[C@@H](O)COP(O)(O)=O
Guanosine	Guanosine	C00387	HMDB00133	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
4-Imidazoleacetic acid	Imidazoleacetic acid	C02835	HMDB02024	OC(=O)CC1=CN=CN1
Citraconic acid	Citraconic acid	C02226	HMDB00634	C\C(=C\C(O)=O)C(O)=O
PIP3	"Phosphatidylinositol-3,4,5-trisphosphate"	C05981	HMDB04249	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O
Phosphoenolpyruvic acid	Phosphoenolpyruvic acid	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O
3-Hydroxy-3-methylglutaryl coenzyme A	3-Hydroxy-3-methylglutaryl-CoA	C00356	HMDB01375	C[C@](O)(CC(O)=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
L-a-Aspartyl-L-phenylalanine	Aspartylphenylalanine		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
Orotidine 5-monophosphate	Orotidylic acid	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
DL-2-Amino-3-phosphonopropionic acid	2-Amino-3-phosphonopropionic acid	C05672	HMDB00370	NC(CP(O)(O)=O)C(O)=O
Nicotinamide ribotide	Nicotinamide ribotide	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
