Query	HMDB	ChEBI	KEGG	SMILES
Cytidine	HMDB0000089	17562	C02961	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Cytidine monophosphate	HMDB0000095	17361	C00055	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
Cytidine monophosphate N-acetylneuraminic acid	HMDB0001176	16556	C00128	[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O)C(O)=O)[C@H](O)[C@H](O)CO
Cytidine triphosphate	HMDB0000082	17677	C00063	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
D-2-Hydroxyglutaric acid	HMDB0000606	32796	C01087	O[C@H](CCC(O)=O)C(O)=O
dADP	HMDB0001508	16174	C00206	NC1=NC=NC2=C1N=CN2C1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
D-Aspartic acid	HMDB0006483	17364	C00402	N[C@H](CC(O)=O)C(O)=O
dCDP	HMDB0001245	28846	C00705	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
dCMP	HMDB0001202	15918	C00239	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
dCTP	HMDB0000998	16311	C00458	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
Dehydroascorbic acid	HMDB0001264	27956	C05422	[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO
Deoxyadenosine	HMDB0000101	17256	C00559	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1
Deoxyadenosine monophosphate	HMDB0000905	17713	C00360	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
Deoxyadenosine triphosphate	HMDB0001532	16284	C00131	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
Deoxycytidine	HMDB0000014	15698	C00881	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
Deoxyguanosine	HMDB0000085	17172	C00330	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1
Deoxyinosine	HMDB0000071	28997	C05512	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O
Deoxyribose	HMDB0003224	28816	C01801	OC[C@@H]1O[C@H](O)C[C@H]1O
Deoxyribose 5-phosphate	HMDB0001031	16132	C00673	O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
Deoxyuridine	HMDB0000012	16450	C00526	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O
Deoxyuridine triphosphate	HMDB0001191	17625	C00460	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Dephospho-CoA	HMDB0001373	15468	C00882	CC(C)(COP(=O)(O)OP(=O)(O)OC1O(n2cnc3c(N)ncnc32)(O)1O)C(O)C(=O)NCCC(=O)NCCS
D-Fructose	HMDB0000660	28645	C02336	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
D-Galactose	HMDB0000143	28061	C00984	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
dGDP	HMDB0000960	28862	C00361	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
D-Glucose	HMDB0000122	4167	C00221	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
D-Glucuronic acid	HMDB0006355	18268	C02670	O[C@@H]1O[C@@H]2[C@@H](O)C(=O)O[C@@H]2[C@H]1O
"D-Glucurono-6,3-lactone"	HMDB06355	NA	C02670	O[C@@H]1O[C@@H]2[C@@H](O)C(=O)O[C@@H]2[C@H]1O
D-Glutamic acid	HMDB0003339	15966	C00217	N[C@H](CCC(O)=O)C(O)=O
D-Glutamine	HMDB0003423	17061	C00819	N[C@H](CCC(N)=O)C(O)=O
D-Glyceraldehyde 3-phosphate	HMDB0001112	29052	C00118	O[C@H](COP(O)(O)=O)C=O
dGTP	HMDB0001440	16497	C00286	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
Diadenosine triphosphate	HMDB0001155	27775	C06197	NC1=C2N=CN([C@H]3O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@H](O)[C@@H]3O)C2=NC=N1
Dihydrothymine	HMDB0000079	27468	C00906	CC1CNC(=O)NC1=O
Dihydrouracil	HMDB0000076	15901	C00429	O=C1CCNC(=O)N1
Dihydroxyacetone phosphate	HMDB0001473	16108	C00111	OCC(=O)COP(O)(O)=O
Dimethylglycine	HMDB0000092	17724	C01026	CN(C)CC(O)=O
D-Lactaldehyde	HMDB0006458	17167	C00937	C[C@@H](O)C=O
D-Leucic acid	HMDB0000624	55534	C03264	CC(C)C[C@H](C(=O)O)O
DL-Homocystine	HMDB0000575	17485	C01817	NC(CCSSCCC(N)C(O)=O)C(O)=O
D-Maltose	HMDB0000163	47937	C00208	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
D-Mannose	HMDB0000169	4208	C00936	OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
D-Mannose 1-phosphate	HMDB0006330	18205	C00636	OC[C@H]1O[C@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
Dodecanedioic acid	HMDB0000623	4676	C02678	C(CCCCCC(=O)O)CCCCC(=O)O
D-Proline	HMDB0003411	16313	C00763	OC(=O)[C@H]1CCCN1
D-Ribose	HMDB0000283	47013	C00121	OC[C@H]1OC(O)[C@H](O)[C@@H]1O
D-Ribose 5-phosphate	HMDB0001548	52742	C03736	O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
D-Sedoheptulose 7-phosphate	HMDB0001068	133983	C05382	OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
D-Serine	HMDB0003406	16523	C00740	N[C@H](CO)C(O)=O
D-Tagatose 6-phosphate	HMDB0006873	4251	C01097	OCC1(O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O
dUMP	HMDB0001409	17622	C00365	O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
D-Xylose	HMDB0000098	53455	C00181	O[C@@H]1COC(O)[C@H](O)[C@H]1O
D-Xylulose	HMDB0001644	17140	C00310	OC[C@@]1(O)OC[C@@H](O)[C@@H]1O
Epinephrine	HMDB0000068	28918	C00788	CNC[C@H](O)C1=CC(O)=C(O)C=C1
"Erythrono-1,4-lactone"	HMDB0000349	87625	NA	O[C@@H]1COC(=O)[C@@H]1O
Ethylmalonic acid	HMDB0000622	741548	NA	CCC(C(=O)O)C(=O)O
FAD	HMDB0001248	16238	C00016	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
Flavin Mononucleotide	HMDB0001520	17621	C00061	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2
Folic acid	HMDB0000121	27470	C00504	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
Formylanthranilic acid	HMDB0004089	36575	C05653	OC(=O)C1=CC=CC=C1NC=O
Fructose 6-phosphate	HMDB0000124	15946	C00085	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
Fucose 1-phosphate	HMDB0001265	28319	C02985	C[C@@H]1OC(OP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
Galactaric acid	HMDB0000639	30852	NA	O=C(O)(O)(O)(O)(O)C(=O)O
Galactinol	HMDB0005826	17505	C01235	[H][C@]1(O[C@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Galactitol	HMDB0000107	16813	C01697	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
Galactose 1-phosphate	HMDB0000645	17973	C00446	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O
Galactosylglycerol	HMDB0006790	15754	C05401	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OCC(CO)O)O)O)O)O
Gamma-Aminobutyric acid	HMDB0000112	16865	C00334	NCCCC(=O)O
Gamma-Glutamylcysteine	HMDB0001049	17515	C00669	N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O
Gentisate aldehyde	HMDB0004062	28508	C05585	OC1=CC(C=O)=C(O)C=C1
Gentisic acid	HMDB0000152	17189	C00628	OC(=O)C1=C(O)C=CC(O)=C1
Glucaric acid	HMDB0000663	16002	NA	O=C(O)(O)(O)(O)(O)C(=O)O
Gluconic acid	HMDB0000625	33198	C00257	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
Gluconolactone	HMDB0000150	16217	C00198	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
Glucosamine	HMDB0001514	47977	C00329	N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
Glucosamine 6-phosphate	HMDB0001254	15873	C00352	N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
Glucose 1-phosphate	HMDB0001586	29042	C00103	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
Glucose 6-phosphate	HMDB0001401	4170	C00092	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
Glutaconic acid	HMDB0000620	15670	C02214	O=C(O)/C=C/CC(=O)O
Glutaric acid	HMDB0000661	17859	C00489	OC(=O)CCCC(O)=O
Glyceraldehyde	HMDB0001051	5445	C02154	OCC(O)C=O
Glyceric acid	HMDB0000139	32398	C00258	OC[C@@H](O)C(O)=O
Glycerol 3-phosphate	HMDB0000126	15978	C00093	C([C@H](COP(=O)(O)O)O)O
Glycerophosphocholine	HMDB0000086	16870	C00670	C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O
Glycolic acid	HMDB0000115	17497	C03547	OCC(O)=O
Glyoxylic acid	HMDB0000119	16891	C00048	OC(=O)C=O
Guanidoacetic acid	HMDB0000128	16344	C00581	NC(=N)NCC(O)=O
Guanine	HMDB0000132	16235	C00242	NC1=NC(=O)C2=C(N1)N=CN2
Guanosine	HMDB0000133	16750	C00387	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
Guanosine diphosphate	HMDB0001201	17552	C00035	NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Guanosine diphosphate mannose	HMDB0001163	15820	C00096	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C(=O)N1
Guanosine monophosphate	HMDB0001397	17345	C00144	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Guanosine triphosphate	HMDB0001273	15996	C00044	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Hexanoylglycine	HMDB0000701	64390	NA	CCCCCC(=O)NCC(O)=O
Hippuric acid	HMDB0000714	18089	C01586	OC(=O)CNC(=O)C1=CC=CC=C1
Homocitrulline	HMDB0000679	17443	C02427	N[C@@H](CCCCNC(N)=O)C(O)=O
Homocysteine	HMDB0000742	17588	C00155	N[C@@H](CCS)C(O)=O
Homovanillic acid	HMDB0000118	545959	C05582	COC1=CC(CC(O)=O)=CC=C1O
Hydroxykynurenine	HMDB0000732	1547	C02794	NC(CC(=O)C1=C(N)C(O)=CC=C1)C(O)=O
Hydroxypropionic acid	HMDB0000700	33404	C01013	OCCC(O)=O
Hydroxypyruvic acid	HMDB0001352	30841	C00168	OCC(=O)C(O)=O
Hypotaurine	HMDB0000965	16668	C00519	NCCS(O)=O
Hypoxanthine	HMDB0000157	17368	C00262	OC1=NC=NC2=C1NC=N2
Imidazoleacetic acid	HMDB0002024	16974	C02835	OC(=O)CC1=CN=CN1
Indoleacetic acid	HMDB0000197	16411	C00954	OC(=O)CC1=CNC2=C1C=CC=C2
Indolepyruvate	HMDB0060484	29750	C00331	OC(=O)C(=O)CC1=CNC2=CC=CC=C12
Inosine	HMDB0000195	17596	C00294	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12
Inosine triphosphate	HMDB0000189	16039	C00081	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O
Inosinic acid	HMDB0000175	17202	C00130	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
"Inositol 1,4,5-trisphosphate"	HMDB0001498	16595	C01245	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
Iodotyrosine	HMDB0000021	27847	C02515	N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O
