Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	Screened_concentration_µM	KEGG_ID	HMDB_ID	SMILES_metabolite	KEGG_pathway_association
D-Glyceraldehyde 3-phosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.53524757	0.864880679	0.011887651	0.116261361	2.19E-13	2.14E-11	D-Glyceraldehyde 3-phosphate	20C_4	3	50	C00118	HMDB01112	OC(COP(O)(O)=O)C=O	Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Galactose metabolism;Inositol phosphate metabolism;Thiamine metabolism;Vitamin B6 metabolism;Terpenoid backbone biosynthesis;Carbon metabolism;Biosynthesis of amino acids
Glycerone phosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.53524757	0.864880679	0.011887651	0.116261361	2.19E-13	2.14E-11	Dihydroxyacetone phosphate	20C_60	3	50	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O	Glycolysis / Gluconeogenesis;Pentose and glucuronate interconversions;Fructose and mannose metabolism;Galactose metabolism;Glycerolipid metabolism;Inositol phosphate metabolism;Glycerophospholipid metabolism;Propanoate metabolism;Nicotinate and nicotinamide metabolism;Carbon metabolism;Biosynthesis of amino acids
D-Glyceraldehyde 3-phosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.53524757	0.864880679	0.011887651	0.116261361	2.19E-13	2.14E-11	D-Glyceraldehyde 3-phosphate	20C_4	3	50	C00118	HMDB01112	OC(COP(O)(O)=O)C=O	Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Galactose metabolism;Inositol phosphate metabolism;Thiamine metabolism;Vitamin B6 metabolism;Terpenoid backbone biosynthesis;Carbon metabolism;Biosynthesis of amino acids
Glycerone phosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.53524757	0.864880679	0.011887651	0.116261361	2.19E-13	2.14E-11	Dihydroxyacetone phosphate	20C_60	3	50	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O	Glycolysis / Gluconeogenesis;Pentose and glucuronate interconversions;Fructose and mannose metabolism;Galactose metabolism;Glycerolipid metabolism;Inositol phosphate metabolism;Glycerophospholipid metabolism;Propanoate metabolism;Nicotinate and nicotinamide metabolism;Carbon metabolism;Biosynthesis of amino acids
Hippuric acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-1.049453737	-0.63653008	0.017823145	0.089881866	3.33E-13	3.23E-11	Hippuric acid	CNC_132	1	50	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1	Phenylalanine metabolism
Hippuric acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-1.049453737	-0.63653008	0.017823145	0.089881866	3.33E-13	3.23E-11	Hippuric acid	CNC_132	1	50	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1	Phenylalanine metabolism
5-Phospho-D-ribose 1-diphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.31148548	1.633925612	0.088204055	0.222795469	3.98E-12	3.55E-10	Phosphoribosyl pyrophosphate	20C_49	4	50	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O	"Pentose phosphate pathway;Purine metabolism;Pyrimidine metabolism;Histidine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Folate biosynthesis;Carbon metabolism;Biosynthesis of amino acids;Antifolate resistance"
5-Phospho-D-ribose 1-diphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.31148548	1.633925612	0.088204055	0.222795469	3.98E-12	3.55E-10	Phosphoribosyl pyrophosphate	20C_49	4	50	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O	"Pentose phosphate pathway;Purine metabolism;Pyrimidine metabolism;Histidine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Folate biosynthesis;Carbon metabolism;Biosynthesis of amino acids;Antifolate resistance"
Uridine 5-diphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.458004274	-1.211932173	0.027556541	0.179084582	4.48E-12	3.96E-10	Uridine 5'-diphosphate	CNC_25	4	50	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Pyrimidine metabolism;Neuroactive ligand-receptor interaction
Uridine 5-diphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.458004274	-1.211932173	0.027556541	0.179084582	4.48E-12	3.96E-10	Uridine 5'-diphosphate	CNC_25	4	50	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Pyrimidine metabolism;Neuroactive ligand-receptor interaction
L-Cystine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-1.727636575	-1.252236076	0.012812008	0.19419844	7.31E-11	5.65E-09	L-Cystine	C_9	2	50	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	Cysteine and methionine metabolism;ABC transporters;Ferroptosis;Protein digestion and absorption
L-Cystine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-1.727636575	-1.252236076	0.012812008	0.19419844	7.31E-11	5.65E-09	L-Cystine	C_9	2	50	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	Cysteine and methionine metabolism;ABC transporters;Ferroptosis;Protein digestion and absorption
Citraconic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.078208157	0.426403775	-0.011552775	0.077775143	1.79E-08	1.02E-06	Citraconic acid	CNC_19	3	50	C02226	HMDB00634	C\C(=C\C(O)=O)C(O)=O	"Valine, leucine and isoleucine biosynthesis;2-Oxocarboxylic acid metabolism"
Citraconic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.078208157	0.426403775	-0.011552775	0.077775143	1.79E-08	1.02E-06	Citraconic acid	CNC_19	3	50	C02226	HMDB00634	C\C(=C\C(O)=O)C(O)=O	"Valine, leucine and isoleucine biosynthesis;2-Oxocarboxylic acid metabolism"
N-Acetyl-D-glucosamine 1-phosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.201253069	1.163551004	0.005863109	0.206075219	1.93E-08	1.10E-06	N-Acetyl-glucosamine 1-phosphate	20C_68	4	50	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O	Amino sugar and nucleotide sugar metabolism
N-Acetyl-D-glucosamine 1-phosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.201253069	1.163551004	0.005863109	0.206075219	1.93E-08	1.10E-06	N-Acetyl-glucosamine 1-phosphate	20C_68	4	50	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O	Amino sugar and nucleotide sugar metabolism
Indole-3-acetic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.161559027	0.525518769	0.02430965	0.091385673	4.15E-08	2.22E-06	Indoleacetic acid	4C_28	1	50	C00954	HMDB00197	OC(=O)CC1=CNC2=C1C=CC=C2	Tryptophan metabolism
Indole-3-acetic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.161559027	0.525518769	0.02430965	0.091385673	4.15E-08	2.22E-06	Indoleacetic acid	4C_28	1	50	C00954	HMDB00197	OC(=O)CC1=CNC2=C1C=CC=C2	Tryptophan metabolism
Orotidine 5-monophosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-1.00067892	1.011890916	0.009503412	0.184542213	5.58E-08	2.93E-06	Orotidylic acid	CNC_77	4	50	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O	Pyrimidine metabolism
Orotidine 5-monophosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-1.00067892	1.011890916	0.009503412	0.184542213	5.58E-08	2.93E-06	Orotidylic acid	CNC_77	4	50	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O	Pyrimidine metabolism
Nicotinamide adenine dinucleotide	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.17575172	0.900335996	-0.013465114	0.175478292	1.91E-07	9.24E-06	NAD	20C_70	2	50	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Oxidative phosphorylation;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Drug metabolism - other enzymes;AMPK signaling pathway;Longevity regulating pathway;Aldosterone synthesis and secretion;Vitamin digestion and absorption
Nicotinamide adenine dinucleotide	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.17575172	0.900335996	-0.013465114	0.175478292	1.91E-07	9.24E-06	NAD	20C_70	2	50	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Oxidative phosphorylation;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Drug metabolism - other enzymes;AMPK signaling pathway;Longevity regulating pathway;Aldosterone synthesis and secretion;Vitamin digestion and absorption
Inosine 5-monophosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.376085437	0.587906509	0.042783799	0.106164554	2.83E-07	1.33E-05	Inosinic acid	I_3	2	50	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O	Purine metabolism;Antifolate resistance;Taste transduction
Inosine 5-monophosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.376085437	0.587906509	0.042783799	0.106164554	2.83E-07	1.33E-05	Inosinic acid	I_3	2	50	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O	Purine metabolism;Antifolate resistance;Taste transduction
D-Fructose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.053878816	0.423513837	-0.012304981	0.089579595	1.14E-06	4.68E-05	D-Fructose	F_2	1	50	C00095	HMDB00660	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O	Fructose and mannose metabolism;Galactose metabolism;Starch and sucrose metabolism;ABC transporters;Taste transduction;Insulin resistance;Carbohydrate digestion and absorption
D-Galactose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.053878816	0.423513837	-0.012304981	0.089579595	1.14E-06	4.68E-05	D-Galactose	G_8	1	50	C00124	HMDB00143	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	Galactose metabolism;Carbohydrate digestion and absorption;Mineral absorption
Myo-Inositol	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.053878816	0.423513837	-0.012304981	0.089579595	1.14E-06	4.68E-05	Myoinositol	I_2	1	50	C00137	HMDB00211	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O	Galactose metabolism;Ascorbate and aldarate metabolism;Inositol phosphate metabolism;ABC transporters;Phosphatidylinositol signaling system
D-Fructose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.053878816	0.423513837	-0.012304981	0.089579595	1.14E-06	4.68E-05	D-Fructose	F_2	1	50	C00095	HMDB00660	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O	Fructose and mannose metabolism;Galactose metabolism;Starch and sucrose metabolism;ABC transporters;Taste transduction;Insulin resistance;Carbohydrate digestion and absorption
D-Galactose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.053878816	0.423513837	-0.012304981	0.089579595	1.14E-06	4.68E-05	D-Galactose	G_8	1	50	C00124	HMDB00143	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	Galactose metabolism;Carbohydrate digestion and absorption;Mineral absorption
Myo-Inositol	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.053878816	0.423513837	-0.012304981	0.089579595	1.14E-06	4.68E-05	Myoinositol	I_2	1	50	C00137	HMDB00211	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O	Galactose metabolism;Ascorbate and aldarate metabolism;Inositol phosphate metabolism;ABC transporters;Phosphatidylinositol signaling system
D-Xylose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.036097855	0.450245752	0.004486019	0.092186188	1.33E-06	5.39E-05	D-Xylose	X_1	1	50	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O	Pentose and glucuronate interconversions;Amino sugar and nucleotide sugar metabolism;ABC transporters
L-Arabinose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.036097855	0.450245752	0.004486019	0.092186188	1.33E-06	5.39E-05	L-Arabinose	A_1	1	50	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism;ABC transporters
L-Ribulose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.036097855	0.450245752	0.004486019	0.092186188	1.33E-06	5.39E-05	L-Ribulose	CNC_159	1	50	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O	Pentose and glucuronate interconversions
D-Xylose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.036097855	0.450245752	0.004486019	0.092186188	1.33E-06	5.39E-05	D-Xylose	X_1	1	50	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O	Pentose and glucuronate interconversions;Amino sugar and nucleotide sugar metabolism;ABC transporters
L-Arabinose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.036097855	0.450245752	0.004486019	0.092186188	1.33E-06	5.39E-05	L-Arabinose	A_1	1	50	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism;ABC transporters
L-Ribulose	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.036097855	0.450245752	0.004486019	0.092186188	1.33E-06	5.39E-05	L-Ribulose	CNC_159	1	50	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O	Pentose and glucuronate interconversions
Dihydrouracil	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.107195364	0.305348366	0.025832671	0.058367074	1.68E-06	6.71E-05	Dihydrouracil	D_5	1	50	C00429	HMDB00076	O=C1CCNC(=O)N1	Pyrimidine metabolism;beta-Alanine metabolism;Pantothenate and CoA biosynthesis
Dihydrouracil	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.107195364	0.305348366	0.025832671	0.058367074	1.68E-06	6.71E-05	Dihydrouracil	D_5	1	50	C00429	HMDB00076	O=C1CCNC(=O)N1	Pyrimidine metabolism;beta-Alanine metabolism;Pantothenate and CoA biosynthesis
2-Deoxy-5-cytidylic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.869873747	-0.612465567	-0.035606796	0.124786431	3.79E-06	0.000140794	dCMP	20C_75	4	50	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	Pyrimidine metabolism
2-Deoxy-5-cytidylic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.869873747	-0.612465567	-0.035606796	0.124786431	3.79E-06	0.000140794	dCMP	20C_75	4	50	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	Pyrimidine metabolism
cis-Aconitic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.052788983	0.904420496	-0.033943843	0.203350085	3.94E-06	0.00014592	cis-Aconitic acid	20C_8	4	50	C00417	HMDB00072	OC(=O)C\C(=C\C(O)=O)C(O)=O	Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;2-Oxocarboxylic acid metabolism
Dehydroascorbic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.052788983	0.904420496	-0.033943843	0.203350085	3.94E-06	0.00014592	Dehydroascorbic acid	D_3	4	50	C05422	HMDB01264	[H][C@@]1(OC(=O)C(=O)C1=O)[C@H](O)CO	Ascorbate and aldarate metabolism;Glutathione metabolism
cis-Aconitic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.052788983	0.904420496	-0.033943843	0.203350085	3.94E-06	0.00014592	cis-Aconitic acid	20C_8	4	50	C00417	HMDB00072	OC(=O)C\C(=C\C(O)=O)C(O)=O	Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;2-Oxocarboxylic acid metabolism
Dehydroascorbic acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.052788983	0.904420496	-0.033943843	0.203350085	3.94E-06	0.00014592	Dehydroascorbic acid	D_3	4	50	C05422	HMDB01264	[H][C@@]1(OC(=O)C(=O)C1=O)[C@H](O)CO	Ascorbate and aldarate metabolism;Glutathione metabolism
Nicotinamide ribotide	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.296334562	0.652835946	0.072371044	0.128044685	5.81E-06	0.000208611	Nicotinamide ribotide	CNC_14	2	50	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O	Nicotinate and nicotinamide metabolism
Nicotinamide ribotide	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.296334562	0.652835946	0.072371044	0.128044685	5.81E-06	0.000208611	Nicotinamide ribotide	CNC_14	2	50	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O	Nicotinate and nicotinamide metabolism
Glucono delta-lactone	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.004796531	0.381730605	0.001458474	0.085814864	9.37E-06	0.000322996	Gluconolactone	G_4	1	50	C00198	HMDB00150	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	Pentose phosphate pathway;Carbon metabolism
Glucono delta-lactone	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.004796531	0.381730605	0.001458474	0.085814864	9.37E-06	0.000322996	Gluconolactone	G_4	1	50	C00198	HMDB00150	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	Pentose phosphate pathway;Carbon metabolism
Xanthosine 5-monophosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.93806212	-0.440971135	0.008277683	0.105512516	2.06E-05	0.000647471	Xanthylic acid	CNC_143	3	50	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O	Purine metabolism
Xanthosine 5-monophosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.93806212	-0.440971135	0.008277683	0.105512516	2.06E-05	0.000647471	Xanthylic acid	CNC_143	3	50	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O	Purine metabolism
L-a-Aspartyl-L-phenylalanine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.238806301	0.563616298	0.096912909	0.109949543	2.19E-05	0.000680646	Aspartylphenylalanine	CNC_112	3	50		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O	
L-a-Aspartyl-L-phenylalanine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.238806301	0.563616298	0.096912909	0.109949543	2.19E-05	0.000680646	Aspartylphenylalanine	CNC_112	3	50		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O	
Beta-alanine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.583139614	-0.322646414	0.003496754	0.078156576	3.01E-05	0.000901364	Beta-Alanine	A_4	1	50	C00099	HMDB00056	NCCC(O)=O	Pyrimidine metabolism;beta-Alanine metabolism;Propanoate metabolism;Pantothenate and CoA biosynthesis;Neuroactive ligand-receptor interaction;Protein digestion and absorption
L-Alanine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.583139614	-0.322646414	0.003496754	0.078156576	3.01E-05	0.000901364	L-Alanine	A_9	1	50	C00041	HMDB00161	C[C@H](N)C(O)=O	"Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Selenocompound metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;Biosynthesis of amino acids;ABC transporters;Sulfur relay system;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
Beta-alanine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.583139614	-0.322646414	0.003496754	0.078156576	3.01E-05	0.000901364	Beta-Alanine	A_4	1	50	C00099	HMDB00056	NCCC(O)=O	Pyrimidine metabolism;beta-Alanine metabolism;Propanoate metabolism;Pantothenate and CoA biosynthesis;Neuroactive ligand-receptor interaction;Protein digestion and absorption
L-Alanine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.583139614	-0.322646414	0.003496754	0.078156576	3.01E-05	0.000901364	L-Alanine	A_9	1	50	C00041	HMDB00161	C[C@H](N)C(O)=O	"Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Selenocompound metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;Biosynthesis of amino acids;ABC transporters;Sulfur relay system;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
Diadenosine triphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.175022139	-1.221807319	-0.050129421	0.281720978	3.20E-05	0.000952596	Diadenosine triphosphate	CNC_141	3	50	C06197	HMDB01155	NC1=C2N=CN([C@H]3O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@H](O)[C@@H]3O)C2=NC=N1	Purine metabolism
