metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
Diadenosine triphosphate	ALDOA	-2.175022139	-1.154279258	-0.02674434	0.292945904	1.19E-04	0.002999567
D-Galactaric acid	ALDOA	-0.672898993	-0.276774276	-0.019737542	0.066806212	1.19E-04	0.003014494
3-Furoic acid	ALDOA	-0.079747616	0.743798902	-0.012807569	0.201185822	1.69E-04	0.004060086
L-Alanine;Beta-alanine	ALDOA	-0.583139614	-0.319779588	0.001515248	0.086784625	2.14E-04	0.004991489
L-Fucose	ALDOA	0.35602396	0.589806639	0.005292073	0.159500209	2.48E-04	0.005663446
Hydroxypyruvate	ALDOA	-0.495125861	-0.193256253	-0.009610607	0.050258468	2.58E-04	0.005867426
Uridine 5-triphosphate	ALDOA	-3.985707563	-0.810627827	-0.014318424	0.220184344	2.99E-04	0.00664316
1-Methylnicotinamide	ALDOA	-0.157663337	0.202576659	0.006468819	0.058102917	7.38E-04	0.014328103
PIP3	ALDOA	-5.258805102	-0.835198384	0.008624853	0.254811349	9.28E-04	0.017365356
Nicotinamide ribotide	ALDOA	-0.296334562	0.542699534	0.083161216	0.139571242	9.93E-04	0.018370665
2-Oxo-4-methylthiobutanoic acid	ALDOA	-0.510879315	-0.449535563	0.053463965	0.156026513	0.001264982	0.022417001
UDP-Glucuronate	ALDOA	-1.386886744	-0.405813742	-0.012401109	0.122313954	0.001298023	0.022887392
CDP-Glycerol	ALDOA	-0.829586035	-0.251809926	0.026712182	0.087128969	0.001390264	0.024119889
"3,5-Diiodo-L-tyrosine"	ALDOA	0.224723024	0.287003409	-0.009951427	0.093171998	0.001436732	0.02478473
N-Acetyl-D-glucosamine 6-phosphate	ALDOA	-0.650281789	-0.187353642	-9.24E-04	0.059691587	0.001788889	0.029578979
Guanidineacetic acid	ALDOA	-0.44442317	-0.196582155	0.012261632	0.066980194	0.00182087	0.029967129
O-Phosphorylethanolamine	ALDOA	-0.764208902	-0.356552721	0.008808108	0.118102694	0.001977533	0.03200767
Dulcitol	ALDOA	0.053350711	0.383782502	0.010425483	0.121559619	0.002130645	0.033882272
L-Kynurenine	ALDOA	-0.481520476	-0.183884985	0.026035943	0.068577549	0.002205448	0.03491421
Citric acid;Isocitric acid	ALDOA	-0.340672688	0.583858469	-0.02260768	0.20440366	0.003007186	0.045039156
L-Dihydroorotic acid	ALDOA	-0.284353305	0.333023821	0.021384297	0.105111075	0.003028216	0.045298208
Xanthosine	ALDOA	-0.123277104	0.183500021	0.006997559	0.060752556	0.003669386	0.052423275
N-Acetyl-D-mannosamine	ALDOA	0.082784354	0.30313459	0.008294849	0.103074399	0.004230328	0.058647169
"DL-3,4-Dihydroxymandelic acid"	ALDOA	-0.161263032	0.147686108	-0.013792487	0.056471032	0.00424317	0.05878868
L-Glutamic acid	ALDOA	-0.568125331	-0.217379351	-0.011229708	0.073017531	0.00475336	0.064274068
Deoxycytidine triphosphate	ALDOA	-3.266477299	-0.333769867	0.053685609	0.137492906	0.00483233	0.065065849
6-Phosphogluconic acid	ALDOA	-2.592476683	-0.768431808	0.007493016	0.277112753	0.00510974	0.067967057
Glutaconic acid	ALDOA	-0.164249048	0.387101847	-0.015846126	0.145866193	0.005736946	0.074489038
2-Deoxyribose-5-phosphate	ALDOA	-0.191472866	0.36606096	-0.02791839	0.14533078	0.006709788	0.08383794
NADP	ALDOA	-0.884169541	0.383523124	0.020206855	0.135919148	0.007516902	0.091804349
4-Hydroxyphenylpyruvic acid	ALDOA	-0.070028715	0.175979903	-0.011250052	0.070099709	0.007564611	0.092226941
D-Lactaldehyde	ALDOA	-0.211443752	0.164955354	-0.016679721	0.068864123	0.008349835	0.099370972
"2,3-Diphosphoglyceric acid"	ALDOA	-2.915171374	-0.355719486	0.028206022	0.146275855	0.008673357	0.102350817
Guanosine 5-diphosphate	ALDOA	-2.234778971	-0.513792165	0.039456072	0.211895605	0.009029183	0.105379882
Glutaric acid;Ethylmalonic acid	ALDOA	-0.201133763	0.134833037	-0.017905493	0.058806991	0.009396386	0.1087923
L-Glutamine;D-Glutamine;Ureidoisobutyric acid	ALDOA	-0.506703726	-0.225557983	-0.009005125	0.083472381	0.009478222	0.109436926
cis-4-Hydroxy-D-proline;trans-4-Hydroxy-L-proline	ALDOA	-0.520201213	-0.132862319	-0.012109032	0.046761128	0.009813191	0.112316401
Homocitrulline	ALDOA	-0.496325747	-0.207539512	0.00411859	0.082482521	0.010285023	0.11628614
Indole-3-pyruvic acid	ALDOA	0.47457928	0.598112062	0.007603834	0.234087223	0.011649111	0.127653883
N-Acetylmuramic acid	ALDOA	-0.223396826	0.201799497	-0.012488421	0.087717885	0.014568901	0.150875698
Inosine	ALDOA	-0.33237314	-0.253723896	0.04704823	0.124471343	0.015674979	0.159341314
Adenosine diphosphate;Deoxyguanosine 5-diphosphate	ALDOA	-0.811089867	0.312178305	-0.041516665	0.148349097	0.017115967	0.169822566
3-Iodo-L-tyrosine	ALDOA	0.014719972	0.151846547	-0.007737773	0.067426789	0.017943636	0.175751203
D-Saccharic acid	ALDOA	-1.028648814	-0.384654013	-0.037188375	0.149616203	0.020212498	0.192225506
Hypoxanthine	ALDOA	-0.02238281	0.212754254	0.007781387	0.089460573	0.021951331	0.204206867
Betaine aldehyde	ALDOA	-0.406087725	0.265464029	-0.04956737	0.140677576	0.025130809	0.224088732
"2,3-Dihydroxypropyl hexopyranoside"	ALDOA	-0.124771866	0.241579355	-0.016209638	0.115539332	0.02566924	0.227655919
Sucrose;Isomaltose	ALDOA	0.091974004	0.276741627	-0.007139085	0.127272476	0.025714552	0.227997362
2-Deoxyinosine	ALDOA	0.362669733	0.389213515	0.018542344	0.166390887	0.025899648	0.229241107
L-Asparagine;Ureidopropionic acid	ALDOA	-0.558705875	-0.171071024	-0.007232007	0.07492743	0.028769106	0.246303732
D-Glucosamine	ALDOA	-0.494457962	-0.185679546	-0.01941397	0.077493125	0.031908691	0.265211033
Cytidine	ALDOA	-0.383247168	-0.299098887	0.046546105	0.162170196	0.03305852	0.271897996
Uridine monophosphate	ALDOA	-0.610413145	-0.114547188	0.044113816	0.074492214	0.03317983	0.272393665
Succinyl coenzyme A	ALDOA	-1.386636108	-0.412463603	-0.024415354	0.182650388	0.033624926	0.274867753
L-Phenylalanine	ALDOA	-0.21574014	0.075446503	-0.012180806	0.041827534	0.036173911	0.289175157
5-Methoxytryptamine	ALDOA	-0.316497139	-0.283232521	0.067602701	0.168435976	0.037260379	0.295666743
Crotonoyl coenzyme A	ALDOA	-4.680848711	-2.093680309	0.114707451	1.08210184	0.041267556	0.31730745
CDP-ethanolamine	ALDOA	-0.279846875	0.094751452	0.001127479	0.045959146	0.04163872	0.319414939
"2,3-Pyridinedicarboxylic acid"	ALDOA	-0.951577715	-0.418400672	-0.045140815	0.18439747	0.042948184	0.325542936
Thiamine monophosphate	ALDOA	-0.421048051	-0.152388955	0.049458565	0.100419891	0.04442746	0.332378145
4-Imidazoleacetic acid	ALDOA	-0.428459334	-0.077607019	0.00145948	0.039522038	0.045439036	0.337667483
D-Sorbitol	ALDOA	0.045888823	0.226787669	0.003040683	0.112129868	0.045996309	0.340037422
Cytidine 5-triphosphate	ALDOA	-3.757635843	-0.234180347	0.058984965	0.149630837	0.05008266	0.35998525
"D-Fructose 1,6-bisphosphate;D-Glucose 1,6-bisphosphate"	ALDOA	-1.640850749	0.233676544	-0.028273413	0.133869991	0.050376998	0.360976727
Succinic acid;Methylmalonic acid	ALDOA	-0.288242763	0.092217664	-0.015268634	0.055524573	0.052888165	0.372588525
2-Oxoadipic acid	ALDOA	-0.281326401	0.069635999	-0.008953768	0.041174405	0.056300243	0.388849879
Metanephrine	ALDOA	-0.207359362	0.414576971	-0.032944147	0.236718932	0.058688876	0.398480681
D-Gluconic acid	ALDOA	-0.42002085	-0.122844756	-0.025905813	0.051294755	0.058779198	0.398913242
Cytidine monophosphate	ALDOA	-1.042505318	-0.136048256	0.177344042	0.165962939	0.058982065	0.39957961
Malonyl coenzyme A	ALDOA	-1.861565143	0.397070294	0.020123559	0.202421913	0.062577237	0.414088644
Nicotinamide hypoxanthine dinucleotide	ALDOA	-0.20708621	0.252312926	0.011821395	0.130145586	0.064621811	0.422478188
D-Fructose 6-phosphate;D-Galactose 1-phosphate;D-Glucose 1-phosphate;D-Glucose 6-phosphate;D-Mannose 1-phosphate;D-Mannose 6-phosphate	ALDOA	-0.610579817	0.209441817	-0.026285464	0.12804755	0.065631012	0.426286321
4-Hydroxyphenylacetylglycine	ALDOA	-0.071137283	0.068454815	-0.0648287	0.07333461	0.069145051	0.440130162
Biotin	ALDOA	-0.439949645	-0.13646527	0.011431927	0.081982098	0.071228454	0.448118632
Acetylcholine	ALDOA	-0.403220789	0.194073629	-0.002553424	0.110896741	0.076218051	0.467265272
Homovanillic acid	ALDOA	-0.181709539	0.079869315	-0.019316884	0.055975668	0.076402522	0.468129808
Tyramine	ALDOA	-0.413554194	-0.219655862	-0.017590717	0.114612952	0.077896796	0.474117144
Riboflavin	ALDOA	-0.297266555	-0.322890699	0.029981275	0.200590888	0.078549907	0.476306459
PIP2	ALDOA	-2.099682255	0.424696489	0.005530106	0.238583771	0.078935887	0.477488996
DL-4-Hydroxy-3-methoxymandelic acid	ALDOA	-0.207227526	0.104514755	-0.013601224	0.06735653	0.079500171	0.479398634
Folic acid	ALDOA	-0.467866225	-0.38458424	0.097456093	0.277355579	0.082213141	0.488382239
NADPH	ALDOA	-2.852299867	-0.731456929	0.036714131	0.449340609	0.08734878	0.50486768
Cadaverine	ALDOA	-0.574552487	-0.267907627	-0.030688527	0.140052657	0.090306131	0.515827278
Glutathione disulfide	ALDOA	-2.751043684	-0.503397002	0.00855186	0.305052156	0.093301451	0.525771341
"D-Erythrono-1,4-lactone"	ALDOA	-0.434489234	-0.261591376	0.056662729	0.189970472	0.093878923	0.527678698
L-Histidine	ALDOA	-0.41353222	-0.130327814	-0.006492698	0.074322629	0.09567693	0.533884447
6-Deoxy-L-galactonic acid	ALDOA	-0.323728084	-0.25023499	-0.006008924	0.147980147	0.098861661	0.543901655
Pyridoxamine-5-phosphate	ALDOA	-0.306541126	0.080419246	-0.001343472	0.049676573	0.099784157	0.546640446
3-Methoxytyramine	ALDOA	-0.431620713	-0.211298052	-0.019122354	0.117832689	0.102907184	0.55599795
Uracil	ALDOA	-0.029541299	0.226780367	0.031905555	0.120795089	0.106686366	0.566643271
D-Ribose;D-Xylulose	ALDOA	0.052484311	0.225294589	-0.003018731	0.142186996	0.108334183	0.570865365
Pyridoxal	ALDOA	-0.472205699	-0.239144147	0.085751895	0.203202007	0.109846812	0.575742121
"2,5-Dihydroxybenzaldehyde;4-Hydroxybenzoic acid"	ALDOA	-0.05395189	-0.183336844	0.038728653	0.139319827	0.110952607	0.579138693
Ascorbate	ALDOA	0.244368979	0.387694168	-0.078064094	0.292656654	0.111500786	0.580255677
Histamine	ALDOA	-0.40909816	-0.152748345	0.010414745	0.102650806	0.111948359	0.581238712
Inosine 5-triphosphate	ALDOA	-4.146197458	-0.422968418	-0.013533701	0.259278168	0.11430555	0.587665209
Acetoacetate;2-Ketobutyric acid	ALDOA	-0.310217684	-0.086892133	0.002903872	0.057589106	0.118936431	0.599636348
Phenylpyruvate	ALDOA	-0.274732784	-0.18305532	-0.008375578	0.112234762	0.119618175	0.601487738
Phosphatidylcholine	ALDOA	-0.340935709	0.14151601	-0.003683558	0.09382545	0.121730697	0.606776938
4-Pyridoxic acid	ALDOA	0.068544039	-0.188054378	0.021789347	0.136755844	0.124921287	0.61429808
2-Methylglutaric acid;3-Methylglutaric acid;Adipic acid	ALDOA	-0.364252684	0.038891143	-0.020889162	0.039747801	0.132583873	0.632293293
N-Acetylputrescine	ALDOA	-0.264791548	0.302656725	-0.009755202	0.208647184	0.134309608	0.637437658
Uridine	ALDOA	0.020856598	0.299992348	0.05460225	0.164084549	0.134781371	0.638325929
Pyridoxamine	ALDOA	-0.342542192	-0.119977987	0.039311604	0.106685352	0.135416675	0.640051842
Flavin adenine dinucleotide	ALDOA	-0.007944753	0.209165165	-0.055620126	0.181585046	0.144788493	0.662278974
L-Proline;D-Proline	ALDOA	-0.495928203	-0.078430338	-0.014386971	0.044078882	0.14624422	0.665571793
3-Methylglutaconic acid	ALDOA	-0.015108181	0.133874809	-0.024684112	0.110304445	0.150585549	0.676073191
4-Guanidinobutyric acid	ALDOA	-0.229382091	-0.109922169	0.044781565	0.107827933	0.151364674	0.677814394
D-Ribose 1-phosphate;D-Ribose 5-phosphate;D-Xylulose 5-phosphate	ALDOA	-0.539136346	-0.236896342	-0.040967982	0.136737734	0.151892978	0.678863029
Adenine	ALDOA	-0.401736365	-0.22366683	0.053859757	0.194310134	0.153215266	0.682448754
L-Pyroglutamic acid;D-Pyroglutamic Acid	ALDOA	-0.291014744	0.038731787	-0.020764526	0.041820733	0.154837313	0.685431607
DL-5-Hydroxylysine	ALDOA	-0.276565869	0.069437186	-0.028114931	0.069828182	0.162404331	0.701756557
Xanthurenic acid	ALDOA	1.208081408	0.368607018	0.0082759	0.257993357	0.16251337	0.702046431
Folinic acid	ALDOA	-0.51228161	-0.229767251	-0.010280034	0.159250528	0.168125771	0.71188484
Phosphatidic Acid	ALDOA	0.099978876	0.415222732	0.062670328	0.268718636	0.189528229	0.748816064
2-Amino-3-methoxybenzoic acid	ALDOA	-0.0665367	0.179752833	0.018470955	0.123109251	0.190171765	0.749721214
D-Glucose;D-Mannose	ALDOA	0.045173519	0.185591979	0.01020838	0.133929229	0.190356762	0.749964635
Creatine	ALDOA	-0.381019755	-0.096564132	0.00326352	0.077455057	0.197451581	0.762027681
Pantothenic acid	ALDOA	-0.482404322	-0.098961467	-0.002717777	0.074697088	0.197588302	0.762302025
"DL-3,4-Dihydroxyphenyl glycol"	ALDOA	-0.461303361	-0.130869872	-0.022271167	0.084815325	0.200399672	0.766766113
L-Cystathionine	ALDOA	-0.257773258	0.043097433	-0.012289583	0.043264874	0.200480302	0.766910779
Adenosine monophosphate	ALDOA	-0.172186542	-0.315607247	-0.012835866	0.238190126	0.20368126	0.772158748
L-Tyrosine	ALDOA	-0.086735979	0.131969407	-0.003666087	0.108087315	0.209526073	0.78144279
Pyruvate	ALDOA	-0.319048167	-0.089341618	-0.0142702	0.060801416	0.216942732	0.792823023
N-Acetyl-5-hydroxytryptamine	ALDOA	0.263110171	0.125979317	-9.19E-04	0.103842933	0.221698012	0.800307572
Acetyl coenzyme A	ALDOA	-0.997950166	0.338806956	-0.042634952	0.31225809	0.221874166	0.800404418
L-Cysteine	ALDOA	-0.44347663	-0.127352644	-0.036812803	0.074561855	0.22463636	0.804300069
Deoxyuridine triphosphate	ALDOA	-3.625028061	0.492091518	0.105171543	0.319040382	0.22522092	0.805144038
Isovaleric acid	ALDOA	-0.354236539	0.028338617	-0.027956174	0.046568335	0.226715035	0.807246942
2-Aminoadipic acid	ALDOA	-0.527572671	-0.086557389	-0.019024075	0.056131841	0.228930075	0.810439345
Phosphocholine	ALDOA	-0.502516259	-0.062682515	0.026267668	0.075211411	0.236940465	0.821333894
Agmatine	ALDOA	-0.14954919	0.154090126	0.02755041	0.109052344	0.245903242	0.833513693
Octanoyl coenzyme A	ALDOA	-1.069302185	0.375720062	0.040662347	0.290921817	0.24944005	0.838735052
3-Phosphoadenosine 5-phosphosulfate	ALDOA	-1.791047057	-0.180731042	-0.030646096	0.13056633	0.250353183	0.839868582
D-Glyceraldehyde;L-Lactic acid;3-Hydroxypropionic acid	ALDOA	-0.328497868	-0.060154494	-0.008518641	0.045050601	0.25172293	0.841214398
Leucinic acid;D-Leucic acid;2-Hydroxy-3-methylpentanoic acid	ALDOA	-0.308284143	-0.07753108	-0.003313881	0.064819469	0.252216144	0.841820236
(4R)-4-Hydroxy-L-glutamic acid	ALDOA	-0.152746624	0.137340268	0.008895714	0.112307671	0.252754459	0.842511653
3-Aminopiperidin-2-one	ALDOA	-0.495197727	-0.080448636	-0.013422525	0.059806807	0.262411148	0.855416048
Butyryl coenzyme A	ALDOA	-1.251841627	0.177887021	-0.010671892	0.17033959	0.268311728	0.863055842
S-(5-Adenosyl)-L-methionine	ALDOA	-0.244259955	0.238254171	-0.030738647	0.244559805	0.271373043	0.866511397
3-Hydroxy-DL-kynurenine	ALDOA	-0.28547211	-0.084641127	0.047934634	0.121270177	0.274294401	0.870834822
5-Methyluridine	ALDOA	-0.390890747	-0.056553975	0.01284479	0.064131975	0.27919733	0.87566257
Phosphatidylserine	ALDOA	-0.134186645	0.161870075	0.009777557	0.140592719	0.279343574	0.875792938
3-Sulfopyruvic acid	ALDOA	-0.77061957	0.394672977	0.175541736	0.203943669	0.282612333	0.87969545
N-Acetylneuraminic acid	ALDOA	-0.294143542	0.02545886	-0.017783766	0.040617976	0.287048844	0.883059201
Epinephrine	ALDOA	-0.305588903	0.065794168	-0.02847372	0.089083739	0.289966958	0.88626688
L-Leucine;L-Isoleucine;L-Alloisoleucine	ALDOA	-0.496892592	-0.106829773	-0.030403884	0.072469978	0.291614299	0.88765069
Cyclic GMP	ALDOA	-0.017162273	0.094242959	0.026990145	0.063837928	0.292115077	0.888274626
2-Deoxyuridine	ALDOA	-0.023647242	0.175680256	0.01959098	0.148422965	0.292959339	0.88911977
L-Saccharopine	ALDOA	-0.283990167	0.03783273	-0.010366528	0.045930242	0.293993438	0.890384028
Dihydrothymine	ALDOA	-0.007139375	0.238140251	0.065403992	0.164666823	0.294175989	0.890609909
Dimethylglycine;Gamma-Aminobutyric acid	ALDOA	-0.479380224	-0.100414924	-0.02121442	0.075738049	0.295692092	0.892016246
O-Acetyl-L-carnitine	ALDOA	-0.405626161	0.088631188	-0.005564479	0.093607238	0.314277942	0.90799577
D-Raffinose	ALDOA	0.092302445	0.12414313	-0.009454494	0.13411889	0.319195047	0.911981415
D-Tagatose 6-phosphate	ALDOA	-0.633661765	-0.116519287	0.065820776	0.185442783	0.325475266	0.917033001
Cysteamine	ALDOA	-0.361799086	-0.116511685	-0.006248613	0.112968699	0.329039804	0.919505733
Porphobilinogen	ALDOA	-0.338087108	0.011333707	-0.02301634	0.035529887	0.333647522	0.922811141
N-Glycolylneuraminic acid	ALDOA	-0.312832888	0.024568795	-0.016560057	0.042747261	0.33597926	0.924592773
3-Hydroxy-3-methylglutaryl coenzyme A	ALDOA	-1.911630222	-0.151093187	-0.021457187	0.13502102	0.336996245	0.925597929
Phosphatidylglycerol	ALDOA	-0.125480869	0.231138813	0.044422164	0.196170505	0.341194381	0.928944171
Betaine aldehyde hydrate	ALDOA	-0.492758885	0.071366389	-0.042856293	0.121183465	0.34590603	0.933042973
"2,3-Dihydroxypropanoic acid"	ALDOA	-0.132517484	-0.149247975	-0.025169252	0.132273632	0.348220883	0.934851268
Sarcosine	ALDOA	-0.172241848	0.138874556	-0.005358595	0.155239133	0.352835689	0.938349818
Nicotinic acid	ALDOA	-0.388261999	0.071080419	0.010842896	0.064995648	0.354033935	0.939129485
N2-Acetyl-L-lysine;N6-Acetyl-lysine	ALDOA	-0.346274581	-0.053891348	-0.02319685	0.033333357	0.357136964	0.941482806
2-Deoxycytidine	ALDOA	-0.390825167	-0.087103401	0.077421657	0.180827679	0.362904556	0.945635283
4-Imidazoleacrylic acid	ALDOA	-0.406003445	-0.029486772	0.019281735	0.054094531	0.367300062	0.947890771
3-Hydroxyanthranilic acid	ALDOA	0.160396839	0.087814949	-0.024809567	0.126352077	0.372738919	0.951713086
D-Glucuronic acid	ALDOA	-0.365419573	0.005605569	-0.025153063	0.034559869	0.373460462	0.95248392
N-Acetyl-D-galactosamine;N-Acetyl-D-glucosamine	ALDOA	-0.306795479	0.06572994	-0.026876587	0.104473519	0.375395833	0.953540137
N-Acetyl-L-aspartate	ALDOA	-0.649129493	-0.163682761	-0.009080098	0.174680212	0.376123671	0.953956318
Dephosphocoenzyme A	ALDOA	-0.015804527	-0.540296433	-0.075980554	0.528175722	0.379350546	0.955269756
Cytidine-5-monophospho-N-acetylneuraminic acid	ALDOA	-0.214771122	0.064958325	-0.01533813	0.091947126	0.382505332	0.957593858
3-Aminoisobutyric acid;L-2-Aminobutyric acid	ALDOA	-0.242482616	0.109453058	-0.013679986	0.141441063	0.383994014	0.958279276
Putrescine	ALDOA	-0.441907532	-0.215704934	-0.014406987	0.23213565	0.385856247	0.959217325
N-Formylanthranilic acid	ALDOA	0.223112813	-0.12960574	0.050920603	0.208526669	0.386642059	0.95963513
DL-Homocystine	ALDOA	-0.435244053	-0.077998295	-0.009108749	0.083031722	0.406721185	0.96991124
Ketoglutaric acid	ALDOA	-0.648495238	-0.231529325	-0.039528308	0.23181153	0.407521319	0.970456627
Glycolic acid	ALDOA	-0.352346959	-0.072372695	-0.008640437	0.077953334	0.413603124	0.973372875
Pyridoxine;Norepinephrine	ALDOA	-0.308223199	-0.021463247	0.040871623	0.07759992	0.42180989	0.978276734
Isobutyrylglycine	ALDOA	-0.300988606	0.017620458	-0.014381864	0.041158199	0.436837734	0.985070415
3-Hydroxy-3-methylglutaric acid	ALDOA	-0.140345204	-0.109968842	0.00660506	0.150335266	0.438087867	0.985338186
2-Deoxyguanosine 5-monophosphate	ALDOA	-0.251206164	-0.103638104	-0.004571906	0.128639242	0.441235421	0.986266287
UDP-GlcNAc;UDP-GalNAc	ALDOA	-0.191134174	0.050935892	-0.017198492	0.089062755	0.444262344	0.986683304
Guanosine 5-monophosphate	ALDOA	-0.856645211	0.077258185	0.265989579	0.247305979	0.44537434	0.987521543
L-Arginine	ALDOA	-0.281470849	0.013698214	-0.020060556	0.044372458	0.446773791	0.988221404
Anthranilate	ALDOA	-0.339462555	0.063133867	0.012927819	0.067096532	0.454299775	0.990536055
N-Hexanoyl-glycine	ALDOA	-0.252271571	0.017137098	-0.017587574	0.046893148	0.458992833	0.992134406
5-Methyltetrahydrofolic acid	ALDOA	-0.382466531	-0.083224148	0.007154012	0.122913157	0.462156238	0.993131501
Carnitine	ALDOA	-0.402505089	0.050783511	-0.007048163	0.081160503	0.476118482	0.997355929
L-Threonine	ALDOA	-0.259291205	0.01678342	-0.023019779	0.05626318	0.479288945	0.997629438
Betaine	ALDOA	-0.336460675	0.057864699	-0.07568677	0.189387642	0.480701213	0.997739112
"1,3-Diaminopropane"	ALDOA	-0.317776806	-0.096948518	0.014432282	0.158593898	0.482490893	0.997918422
Guanosine diphosphate mannose	ALDOA	-0.494282627	0.043848174	-0.015628714	0.084672154	0.482406424	0.997918422
"N,N-Diacetylchitobiose"	ALDOA	-0.281433918	0.06894906	0.002022446	0.095353006	0.482752388	0.997918422
Uridine 5-diphosphoglucose;Uridine 5-diphosphogalactose	ALDOA	-0.785621262	-0.056282301	0.060500677	0.166195029	0.482251236	0.997918422
L-alpha-Glycerophosphorylcholine	ALDOA	-0.490371068	0.281625417	0.137419741	0.205674726	0.48321899	0.998037828
D-Arabitol;Adonitol;D-Xylitol	ALDOA	-0.144300477	0.136685668	0.043054331	0.134328087	0.485781081	0.998589149
Orotic acid	ALDOA	-0.402402733	-0.142356676	-0.028041092	0.164199018	0.486302719	0.998589149
Propionyl coenzyme A	ALDOA	-1.553667044	-0.113678112	0.144860503	0.370318577	0.485082209	0.998589149
2-Deoxy-D-ribose	ALDOA	-0.119017736	0.171000976	0.058789553	0.162069618	0.488707785	0.998767994
"D-Glucurono-6,3-lactone"	ALDOA	-0.396977828	-0.062253924	-0.018760953	0.06287442	0.489098433	0.998767994
L-Serine;D-Serine	ALDOA	-0.337723531	-0.058063597	-0.015458231	0.06160472	0.489193232	0.998767994
(R)-3-Hydroxybutyric acid	ALDOA	-0.277916753	0.031225859	-0.039267901	0.112575999	0.531191518	1
1-Methyl-L-histidine	ALDOA	-0.513045545	0.056903692	-0.028736487	0.165223927	0.604229474	1
1-Methylhistamine	ALDOA	-0.542875774	-0.006015519	-0.037751762	0.149034699	0.83136961	1
2-Deoxyadenosine	ALDOA	-0.273279568	0.012710042	-0.090603477	0.179869453	0.565710297	1
2-Deoxyguanosine	ALDOA	-0.191348337	0.026582233	0.022202532	0.201580223	0.982665852	1
